"date","phenocam","doy","rcc","gcc","bcc","brt","night.filtered","spline.filtered","max.filtered","year","soil_sensor","sm5cm_daily_mean","sm30cm_daily_mean","sm5cm_daily_min","sm30cm_daily_min","sm5cm_daily_10th","sm30cm_daily_10th","sm5cm_daily_25th","sm30cm_daily_25th","sm5cm_3day90th","sm30cm_3day90th","sm5cm_3day10th","sm30cm_3day10th","sm5cm_3day25th","sm30cm_3day25th","stemp5_daily_mean","stemp30_daily_mean","airtemp_daily_mean","airtemp_daily_min","snowdepth_daily_mean","stemp5_3day90th","stemp30_3day90th","snowdepth_3day90th","air_3day90th"
"2018-08-11",11,223,0.404753067992913,0.400115011875882,0.194822465614907,312.334276835507,0.400115011875882,0.400115011875882,0.402832568433677,2018,"b",0.0442152777777778,-0.0126597222222222,0.041,-0.014,0.0413,-0.014,0.042,-0.013,0.051,-0.012,0.036,-0.014,0.04,-0.013,13.9061805555556,12.0425694444444,12.0071388888889,1,3738.13888888889,19.71,13.029,3758.9,15.53
"2018-10-13",8,286,0.272134231261999,0.33844833620304,0.389922784007662,545.123438166967,0.33844833620304,0.33844833620304,0.338739349435304,2018,"b",0.290201388888889,0.181145833333333,0.288,0.18,0.288,0.18,0.289,0.181,0.299,0.182,0.286,0.179,0.287,0.18,0.909493055555556,2.17413888888889,-2.15988194444444,-4.613,2292.07638888889,1.221,2.371,2334.9,-1.571
"2018-10-06",11,279,0.364448719515339,0.333277120684935,0.302634621728523,355.752582792187,0.333277120684935,0.333277120684935,0.351227070775069,2018,"b",0.230583333333333,-0.0273055555555556,0.22,-0.029,0.221,-0.028,0.222,-0.028,0.256,-0.025,0.216,-0.029,0.221,-0.028,4.90917361111111,6.50324305555556,-1.76461805555556,-3.97,3697.86805555556,7.197,7.488,3729.9,1.8192
"2018-07-22",11,203,0.354206555575504,0.416257074123562,0.228858069901639,291.218124262162,0.416257074123562,0.416257074123562,0.425632726127556,2018,"b",0.0352222222222222,-0.0135208333333333,0.028,-0.015,0.028,-0.015,0.029,-0.015,0.201,-0.002,0.029,-0.015,0.031,-0.014,14.8111805555556,13.0278472222222,12.7233333333333,1,3726.99305555556,18.12,13.27,3784,15.596
"2018-09-22",19,265,0.403816842689921,0.353446349936107,0.242736807373972,344.556729550289,0.353446349936107,0.353446349936107,0.354204663364757,2018,"b",0.0598333333333333,0.0631319444444444,0.056,0.062,0.056,0.062,0.057,0.063,0.065,0.064,0.055,0.062,0.056,0.062,11.3756736111111,10.048125,8.56860416666667,1,500,20.46,10.69,500,12.69
"2017-10-27",12,300,0.314296441378704,0.314049115059387,0.372059795329495,426.871952409239,0.314049115059387,0.314049115059387,0.329524151546221,2017,"b",0.294645833333333,0.232333333333333,0.294,0.232,0.294,0.232,0.294,0.232,0.295,0.233,0.292,0.232,0.293,0.232,0.39075,2.01225,-8.18974305555555,-11.82,3516.24305555556,1.3034,2.3048,3537,-3.521
"2018-11-18",13,322,0.284429591282269,0.340584099723438,0.374935672616325,560.526894368697,0.340584099723438,0.340584099723438,0.342893271582036,2018,"b",0.0964375,0.442506944444444,0.095,0.441,0.095,0.442,0.095,0.442,0.099,0.444,0.081,0.441,0.08775,0.442,-0.6651875,0.435805555555556,-8.64713888888889,-12.24,2956.10416666667,-0.6511,0.514,3001,-4.9917
"2018-10-08",16,281,0.289665707784338,0.323814355460558,0.386519936755104,381.308792829634,0.323814355460558,0.323814355460558,0.344301961258985,2018,"b",0.0898472222222222,0.181097222222222,0.088,0.174,0.088,0.175,0.089,0.176,0.0939,0.2058,0.089,0.169,0.089,0.175,6.015625,4.801,-3.91067361111111,-6.451,3280.97916666667,6.14,6.8264,3301,0.240100000000003
"2017-10-30",15,303,0.371271082965091,0.366651388183871,0.261591072146205,335.263928039546,0.366651388183871,0.366651388183871,0.367461018837968,2017,"a",0.728368055555556,0.222013888888889,0.728,0.221,0.728,0.221,0.728,0.222,0.729,0.223,0.728,0.22,0.728,0.221,0.395333333333333,11.0971527777778,-1.49501388888889,-6.508,3413.48611111111,0.5482,11.25,3432,1.164
"2018-08-16",9,228,0.419732112982656,0.372426497230068,0.205991428710989,324.173932141288,0.372426497230068,0.372426497230068,0.375356203367005,2018,"b",0.105395833333333,0.0938055555555556,0.104,0.09,0.104,0.092,0.105,0.093,0.108,0.095,0.104,0.092,0.104,0.093,12.4885833333333,10.385,11.591625,1,2557.60416666667,18.625,10.82,2570,14.835
