"phenocam","rcc","gcc","bcc","brt","night.filtered","spline.filtered","max.filtered","date","doy","year"
14,0.394756184594035,0.372015381652309,0.233226795094194,320.329824714094,0.372015381652309,0.372015381652309,0.374716287666141,"2018-08-19",231,2018
17,0.330584740092754,0.389506969310705,0.280437923998738,322.843727093723,0.389506969310705,0.389506969310705,0.396557611560827,"2018-06-05",156,2018
19,0.362214691330198,0.446702292716831,0.191737053356851,299.349925806016,0.446702292716831,0.446702292716831,0.450555346434526,"2018-07-16",197,2018
15,0.370831036670858,0.42889846658427,0.202197162988809,306.630886126411,0.42889846658427,0.42889846658427,0.435591474560605,"2018-08-05",217,2018
9,0.383669705497903,0.389126883396619,0.227448395597612,326.906062538506,0.389126883396619,0.389126883396619,0.392767546692239,"2018-07-31",212,2018
16,0.355508408022386,0.398349510837754,0.246611100190021,326.530105898519,0.398349510837754,0.398349510837754,0.405576720768713,"2018-07-15",196,2018
12,0.394135644467743,0.379360263292455,0.232422564560438,317.394942622789,0.379360263292455,0.379360263292455,0.385299796447247,"2018-08-09",221,2018
15,0.377771768099774,0.427525364353779,0.194703422272212,293.296402348921,0.427525364353779,0.427525364353779,0.432106085585426,"2018-08-09",221,2018
6,0.449980011608768,0.319419535515154,0.230524612391058,341.272452527574,0.319419535515154,0.319419535515154,0.321740157939378,"2018-09-12",255,2018
6,0.367000156437364,0.424005711943106,0.207719229137608,277.808707115949,0.424005711943106,0.424005711943106,0.426754443188032,"2018-07-20",201,2018
13,0.281234886733193,0.34524722045466,0.372611231011321,428.695668910488,0.34524722045466,0.34524722045466,0.346084033090295,"2018-11-02",306,2018
17,0.292728496781759,0.438755797899791,0.266166421692692,301.597595567867,0.438755797899791,0.438755797899791,0.451270489072949,"2018-07-15",196,2018
10,0.363858955693552,0.383557518588254,0.252197821263531,323.178334839086,0.383557518588254,0.383557518588254,0.385539695977703,"2018-08-16",228,2018
16,0.275314838907335,0.321392937604159,0.403292223488506,445.831660664047,0.321392937604159,0.321392937604159,0.327573640350487,"2018-10-10",283,2018
9,0.35875925613192,0.388138277584651,0.252838922428997,331.251757154603,0.388138277584651,0.388138277584651,0.39062046325702,"2018-06-15",166,2018
21,0.336549542424746,0.411889310441122,0.251418445939543,285.640094922149,0.411889310441122,0.411889310441122,0.418082325310265,"2018-07-11",192,2018
20,0.346415203196333,0.397958060192724,0.257316004540465,356.791923265792,0.397958060192724,0.397958060192724,0.402655876740625,"2018-06-17",168,2018
17,0.294969910603036,0.336374741917845,0.368655347479119,320.892273108283,0.336374741917845,0.336374741917845,0.351828565853028,"2018-10-27",300,2018
9,0.451831695036399,0.336429126231709,0.211727656213072,366.314585874679,0.336429126231709,0.336429126231709,0.338289554908023,"2018-09-16",259,2018
13,0.326574291271326,0.460751102644429,0.215833789901631,296.118383400546,0.460751102644429,0.460751102644429,0.478432610251142,"2018-06-29",180,2018
8,0.339935108386085,0.432838645924752,0.225461337636643,293.967536302723,0.432838645924752,0.432838645924752,0.439908290391922,"2018-06-29",180,2018
9,0.331290013201488,0.321324610781217,0.345952587857575,533.65142522841,0.321324610781217,0.321324610781217,0.324188299723295,"2018-10-22",295,2018
11,0.450065665174633,0.355402534400085,0.194523744470673,344.894897519752,0.355402534400085,0.355402534400085,0.356089275379787,"2018-09-21",264,2018
10,0.329302751336048,0.396134343242759,0.272638064464775,337.148923347056,0.396134343242759,0.396134343242759,0.403882019737905,"2018-07-03",184,2018
17,0.368138265457055,0.363475749697018,0.267479597439034,340.583428585943,0.363475749697018,0.363475749697018,0.364651785162872,"2018-09-26",269,2018
14,0.370810065909157,0.399274174093609,0.229706507093996,316.158075258075,0.399274174093609,0.399274174093609,0.403036329814545,"2018-07-09",190,2018
6,0.442344422882941,0.32284284235952,0.234012027352052,361.909533085573,0.32284284235952,0.32284284235952,0.324298205462712,"2018-09-19",262,2018
9,0.302136600196625,0.314437011258681,0.383426388544694,433.042692865665,0.314437011258681,0.314437011258681,0.328249796598197,"2018-11-17",321,2018
15,0.350819853439238,0.435718968311255,0.212993849297386,287.445487880692,0.435718968311255,0.435718968311255,0.44335354114828,"2018-07-12",193,2018
12,0.362614655240997,0.41404547333306,0.223339871425943,299.794038808463,0.41404547333306,0.41404547333306,0.416031256190812,"2018-06-28",179,2018
11,0.416371402640739,0.341558517849523,0.242070079509738,339.436313866279,0.341558517849523,0.341558517849523,0.348766311751751,"2018-10-07",280,2018
8,0.327640630853656,0.432318873419596,0.239195730309563,289.055412313395,0.432318873419596,0.432318873419596,0.434209031138476,"2018-06-17",168,2018
13,0.344257644334421,0.39243355025005,0.264275150507695,340.494283498158,0.39243355025005,0.39243355025005,0.394557341624802,"2018-06-05",156,2018
16,0.351134266354201,0.396543725494192,0.250849396614535,320.829719329767,0.396543725494192,0.396543725494192,0.397506189540338,"2018-06-22",173,2018
17,0.302363341806371,0.441043396196474,0.256251043223275,304.017866933658,0.441043396196474,0.441043396196474,0.446689903878477,"2018-06-16",167,2018
13,0.291634148235149,0.495600859186715,0.209645364527498,261.051930498648,0.495600859186715,0.495600859186715,0.500565682367438,"2018-07-08",189,2018
